Artikelcode;EANCode;Assortiment;Omschrijving;Voorraad
10240;4250589407349;SPAREPARTS;CUBE HANGER MTB RR X12 STD 10240 BLACK;0
10241;4250589407356;SPAREPARTS;CUBE HANGER MTB X12 STD 10241;101
10247;4002556608934;ACCESSORIES;CUBE SUNTOUR TREKKING MOUNTS;5
10248-0XS;4054571228635;CLOTHING;CUBE BLACKLINE PANTS ANTHRACITE XS;0
10248-1S;4054571228642;CLOTHING;CUBE BLACKLINE PANTS ANTHRACITE S;0
10248-2M;4054571228659;CLOTHING;CUBE BLACKLINE PANTS ANTHRACITE M;0
10248-3L;4054571228666;CLOTHING;CUBE BLACKLINE PANTS ANTHRACITE L;0
10248-4XL;4054571228673;CLOTHING;CUBE BLACKLINE PANTS ANTHRACITE XL;0
10248-5XXL;4054571228680;CLOTHING;CUBE BLACKLINE PANTS ANTHRACITE XXL;0
10248-6XXXL;4054571228697;CLOTHING;CUBE BLACKLINE PANTS ANTHRACITE XXXL;0
10250-0XS;4054571228772;CLOTHING;CUBE BLACKLINE LIGHT ISO GILET BLACK XS;0
10250-1S;4054571228789;CLOTHING;CUBE BLACKLINE LIGHT ISO GILET BLACK S;0
10250-2M;4054571228796;CLOTHING;CUBE BLACKLINE LIGHT ISO GILET BLACK M;0
10250-3L;4054571228802;CLOTHING;CUBE BLACKLINE LIGHT ISO GILET BLACK L;0
10250-4XL;4054571228819;CLOTHING;CUBE BLACKLINE LIGHT ISO GILET BLACK XL;0
10250-5XXL;4054571228826;CLOTHING;CUBE BLACKLINE LIGHT ISO GILET BLACK XXL;0
10250-6XXXL;4054571228833;CLOTHING;CUBE BLACKLINE LIGHT ISO GILET BLACK XXXL;0
10252-0XS;4054571228918;CLOTHING;CUBE BLACKLINE SOFTSHELL JACKET SAFETY NEON XS;0
10252-1S;4054571228925;CLOTHING;CUBE BLACKLINE SOFTSHELL JACKET SAFETY NEON S;0
10252-2M;4054571228932;CLOTHING;CUBE BLACKLINE SOFTSHELL JACKET SAFETY NEON M;0
10252-3L;4054571228949;CLOTHING;CUBE BLACKLINE SOFTSHELL JACKET SAFETY NEON L;0
10252-4XL;4054571228956;CLOTHING;CUBE BLACKLINE SOFTSHELL JACKET SAFETY NEON XL;0
10252-5XXL;4054571228963;CLOTHING;CUBE BLACKLINE SOFTSHELL JACKET SAFETY NEON XXL;0
10252-6XXXL;4054571228970;CLOTHING;CUBE BLACKLINE SOFTSHELL JACKET SAFETY NEON XXXL;0
10254-0XS;4054571229052;CLOTHING;CUBE BLACKLINE SOFTSHELL GILET SAFETY NEON XS;0
10254-1S;4054571229069;CLOTHING;CUBE BLACKLINE SOFTSHELL GILET SAFETY NEON S;0
10254-2M;4054571229076;CLOTHING;CUBE BLACKLINE SOFTSHELL GILET SAFETY NEON M;0
10254-3L;4054571229083;CLOTHING;CUBE BLACKLINE SOFTSHELL GILET SAFETY NEON L;0
10254-4XL;4054571229090;CLOTHING;CUBE BLACKLINE SOFTSHELL GILET SAFETY NEON XL;0
10254-5XXL;4054571229106;CLOTHING;CUBE BLACKLINE SOFTSHELL GILET SAFETY NEON XXL;0
10254-6XXXL;4054571229113;CLOTHING;CUBE BLACKLINE SOFTSHELL GILET SAFETY NEON XXXL;0
10264-0XS;4054571233189;CLOTHING;CUBE BLACKLINE WS PANTS ANTHRACITE XS (34);0
10264-1S;4054571233196;CLOTHING;CUBE BLACKLINE WS PANTS ANTHRACITE S (36);0
10264-2M;4054571233202;CLOTHING;CUBE BLACKLINE WS PANTS ANTHRACITE M (38);0
